Current lr 0.01
Epoch:[0][25600/28412]	Time 0.256 (1.288)	Data 0.000 (1.093)	Loss 0.069 (0.011)	Accuracy 0.984 (0.997)	Precison 0.569 (0.972)	Recall 0.954 (0.953)
Epoch:[0][25800/28412]	Time 9.016 (1.288)	Data 8.770 (1.093)	Loss 0.007 (0.011)	Accuracy 0.997 (0.997)	Precison 0.992 (0.972)	Recall 0.942 (0.953)
Epoch:[0][26000/28412]	Time 0.176 (1.287)	Data 0.000 (1.092)	Loss 0.006 (0.011)	Accuracy 0.999 (0.997)	Precison 0.980 (0.972)	Recall 0.993 (0.953)
Epoch:[0][26200/28412]	Time 8.385 (1.287)	Data 8.148 (1.092)	Loss 0.007 (0.011)	Accuracy 0.998 (0.997)	Precison 1.000 (0.972)	Recall 0.969 (0.953)
Epoch:[0][26400/28412]	Time 0.179 (1.286)	Data 0.000 (1.091)	Loss 0.006 (0.011)	Accuracy 0.999 (0.997)	Precison 0.974 (0.972)	Recall 0.974 (0.953)
Epoch:[0][26600/28412]	Time 10.625 (1.286)	Data 10.423 (1.091)	Loss 0.014 (0.011)	Accuracy 0.998 (0.997)	Precison 0.995 (0.973)	Recall 0.968 (0.954)
Epoch:[0][26800/28412]	Time 0.165 (1.285)	Data 0.000 (1.090)	Loss 0.005 (0.011)	Accuracy 0.999 (0.997)	Precison 0.995 (0.973)	Recall 0.986 (0.954)
Epoch:[0][27000/28412]	Time 19.447 (1.285)	Data 19.220 (1.090)	Loss 0.003 (0.011)	Accuracy 1.000 (0.997)	Precison 0.989 (0.973)	Recall 1.000 (0.954)
Epoch:[0][27200/28412]	Time 0.174 (1.285)	Data 0.000 (1.090)	Loss 0.007 (0.011)	Accuracy 0.998 (0.997)	Precison 0.977 (0.973)	Recall 0.983 (0.954)
Epoch:[0][27400/28412]	Time 18.006 (1.285)	Data 17.750 (1.090)	Loss 0.008 (0.011)	Accuracy 0.998 (0.997)	Precison 0.972 (0.973)	Recall 1.000 (0.954)
Epoch:[0][27600/28412]	Time 0.171 (1.284)	Data 0.000 (1.089)	Loss 0.004 (0.011)	Accuracy 0.998 (0.997)	Precison 0.987 (0.973)	Recall 0.915 (0.954)
Epoch:[0][27800/28412]	Time 19.865 (1.284)	Data 19.613 (1.089)	Loss 0.008 (0.011)	Accuracy 0.997 (0.997)	Precison 0.964 (0.973)	Recall 0.981 (0.954)
Epoch:[0][28000/28412]	Time 0.229 (1.283)	Data 0.000 (1.088)	Loss 0.010 (0.011)	Accuracy 0.997 (0.997)	Precison 1.000 (0.973)	Recall 0.958 (0.955)
